BLK%,DBPM,DWS,GP,Pos,STL%,Team
4.7,3.5,4.5,80,1,2.3,0
1.3,0.3,2.7,67,0,2.2,0
5.1,4.7,4.7,77,2,1.4,0
5.7,3.3,5,81,2,0.6,0
1.3,2.9,6.3,79,1,2.6,0
0.1,0.7,3.4,53,0,2.6,0
0.1,1,4.4,80,0,3.5,0
2.4,2,4.6,77,0,2.7,0
2.8,2,4.4,79,0,3,0
1,0.6,3.2,82,1,0.9,0
4.6,6.8,6.6,77,2,2.1,0
1,0,3,82,1,1.2,0
0.3,2,4.2,66,0,2.7,0
8.6,4,3.4,85,2,1.1,0
0.3,-0.2,2.7,82,0,2.2,0
2.4,0.7,3.5,80,1,1.7,0
4.9,1.6,3.9,74,2,0.8,0
1.5,0.2,3.9,80,1,1.6,0
7.3,3.6,3.3,50,1,1.5,0
5.5,4.1,6,73,2,1.4,0
0.4,-1.2,3.6,82,0,3.1,0
0.9,0.1,2.7,72,0,2.4,0
0.6,-0.7,4,82,0,3.5,0
1.3,0.3,3.2,82,0,2.5,0
0.3,-0.1,4.2,80,0,1.9,0
0.5,0.8,3.2,79,0,4.1,0
0.3,-1,4.7,82,0,3.8,0
6.5,3.8,7.2,82,2,2.2,0
0.3,-0.2,5.8,82,0,4.1,0
6.4,5,5.2,82,2,0.7,0
1.4,1.8,2.9,61,1,2.6,0
0.8,3.6,4.6,82,0,4.8,0
1.5,2.5,2.4,76,1,1.7,0
1.7,1.1,3.6,73,1,1.2,0
7.8,5.4,5,80,2,1,0
1.9,2.9,6.7,82,2,1.6,0
1.1,2.3,2.9,82,0,4.7,0
1.1,0.7,3.4,68,1,1.7,0
1.8,-0.3,3.5,82,2,1.1,0
4.1,3.6,4.4,62,2,2.1,0
0.3,0.1,2.9,76,1,2.2,0
5.1,2.3,5.1,75,2,1.7,0
1,1.4,1.9,64,0,3.5,0
1.3,1.1,4.2,79,0,2.5,0
1.9,3.4,3.9,66,1,3,0
4.1,4.4,5.4,80,2,1.6,0
2.5,3.3,4.3,60,2,1.6,0
3.5,4.2,3.6,48,2,1.6,0
2.4,2.6,3.8,76,1,1.7,0
0.3,2.5,5.1,80,0,3,0
0.1,0.9,4.6,80,0,3.9,0
1.4,0.4,2.9,82,1,0.9,0
2.7,3.5,5.9,76,1,1.9,0
1.8,1.2,4,82,1,1,0
6.3,4.7,5,78,1,2.9,0
4.5,0.8,3,67,2,0.8,0
5,2.9,5.5,80,2,0.5,0
1,2.3,4.4,81,0,3.2,0
1.1,2.2,4.4,82,1,2.3,0
6,4.7,4.2,50,2,0.5,0
0.6,4.1,5.6,79,1,2.4,0
4.5,3.4,5.6,78,2,2.1,0
5.3,3.4,5.2,72,2,2.1,0
7.5,4.4,5.2,82,2,0.7,0
0.7,3.1,5.4,79,1,0.9,0
5.1,4.3,6.4,82,2,2,0
1,1.5,3.8,80,1,1.2,0
1.9,3.2,5.4,82,1,3.2,0
0.4,2.9,3.9,81,0,3.9,0
0.9,2.1,3.1,65,0,4,0
1,0.1,2.8,70,1,1.3,0
1,1.9,3.8,81,1,1.3,0
0.7,0.3,3.7,78,0,1.9,0
4.3,1.4,4.9,82,2,1.6,0
1.2,0.8,3.2,80,0,1.7,0
4.5,1.4,3.4,82,1,0.7,0
0.9,1.5,4.3,81,1,1.8,0
2.2,2.1,3.1,73,1,1.9,0
2.9,2.1,4,80,1,1.3,0
1.8,0.4,3.3,69,1,1.2,0
25.7,-0.3,3.8,78,0,0.1,0
0.4,0.7,2.8,72,0,3.6,0
2.7,2.1,3.1,79,1,1.9,0
9.7,3.4,5.3,73,2,1.1,0
5.3,5.5,3.4,67,2,1.2,0
1.1,2.4,4.6,67,0,2.6,0
6.4,4.6,4.9,69,2,1.2,0
1.2,1.6,3.6,54,1,1.4,0
1.2,1.8,3.5,67,1,2.1,0
4.5,4.3,5.1,81,1,2.4,0
3.7,3.5,5,75,2,0.8,0
4.2,2.5,6.4,82,2,1.2,0
0.6,2,4.1,80,0,2.3,0
4.2,4.3,6.9,80,1,1.4,0
8.5,5.3,2,41,1,2.7,0
0.4,1.5,4.4,67,0,2.7,0
0.6,2,5.8,80,0,3.1,0
0.6,2,4.2,81,0,2.9,0
1.1,-1,2.2,68,0,2.1,0
5.3,3.5,7,79,2,0.6,0
2.2,1.7,2.2,50,0,3.5,0
1.3,0.5,3.2,80,0,2.8,0
0.8,2,3.3,73,1,1.3,0
1.4,1.7,2.6,75,1,1.8,0
2,3.3,3.6,80,0,4,0
5.4,4.2,6.7,80,2,2.3,0
4.4,2.7,4.4,77,1,1,0
0.4,-0.3,4.6,82,0,4.1,0
6.4,5.9,5.7,56,2,2.9,0
3.3,0.4,3.3,82,1,0.5,0
2,-0.9,1.9,78,1,0.4,0
1.3,1.5,2.8,82,0,3.8,0
0.6,-0.5,2.6,77,0,3.1,0
0.4,0,2.3,79,1,2.4,0
1.8,1.9,2,80,1,2.4,0
0.6,2.8,2.1,80,0,2.8,0
0.5,1.6,1.8,82,0,2.4,0
0.4,1.3,4.5,80,0,2.2,0
3.3,2.1,2.8,63,1,1.7,0
0.5,-0.7,2.7,79,0,2.2,0
0.3,-1.2,1.9,78,0,2.3,0
1.3,1.8,3.1,72,1,2.1,0
0.7,2.3,2.6,81,0,2.7,0
2.6,2.7,3,68,0,2,0
0.8,1,4.8,81,1,2.7,0
1,0.6,3,65,0,2.3,0
1,0.6,1.6,56,0,2.2,0
0.7,1.1,4.7,80,0,3.4,0
3.4,2.8,3.6,62,2,1.4,0
3,1.7,3.5,74,2,0.9,0
1.5,2.8,3.4,82,0,2.1,0
1.9,3,2.9,60,0,1.3,0
0.7,-0.4,1.5,75,0,1,0
0.6,0.2,4.6,80,0,1.8,0
7.5,6,4.5,56,2,2.2,0
7.4,5.8,4.5,66,2,1.6,0
5.3,4.9,7.2,69,1,1.3,0
1.1,1.2,2.7,82,1,1.4,0
0.8,0.1,3.8,80,0,2,0
2.4,2.8,4.7,80,2,1.5,0
0.8,2.4,4.8,67,0,2.6,0
2.2,1.7,2.6,50,1,1.6,0
4.5,3.7,7.2,82,1,0.9,0
2.9,3.5,5.4,80,1,1.8,0
2.4,2,3.1,63,1,1.4,0
1.4,2.2,3.9,81,1,2.4,0
0.8,4.4,4.5,73,0,5.8,0
0.6,0.5,3.2,82,0,2.1,0
4.9,2.8,4,81,1,1.4,0
1,1.2,2.8,77,1,2.2,0
2.7,1.1,2.7,75,1,1,0
1.2,0.6,3.5,82,1,1.8,0
0.9,1.1,6.1,82,1,1.7,0
7.4,6.1,5,79,2,0.8,0
1,0.4,2.4,82,0,1.8,0
0.7,-0.1,2.8,80,0,1.5,0
1.3,3,5.6,79,1,2.3,0
1.2,1.2,2.1,82,0,2.5,0
0.1,1.8,3.9,70,0,3.9,0
7.7,4.8,3.4,82,2,1.1,0
1.6,2,3.6,66,2,1.5,0
0.7,-1.1,2.1,64,0,2.7,0
16.8,-0.6,2.7,72,1,0.7,0
1.7,3.1,3.9,81,1,1.7,0
1.4,2.4,2.9,71,0,3.1,0
4.1,4.2,6,81,1,2.7,0
6.2,3,4.2,68,1,2.1,0
0.8,0.9,3.7,77,1,2.2,0
1,0.2,1.6,50,0,2.3,0
0.6,-1.4,2,58,0,1.6,0
2.4,2.9,2.7,72,0,4.5,0
3.5,3.2,4.5,78,2,1,0
0.7,1.2,4,69,1,2.3,0
2.3,3,4.6,80,1,1.4,0
3.2,3.2,4.9,76,1,1.6,0
0.2,-2.2,2.8,81,0,1.3,0
0.2,-0.9,3.5,80,0,1.6,0
1,1,2.4,82,0,2.8,0
1.6,2.3,4.1,69,1,3.6,0
1,1.5,2.2,59,1,1.9,0
1.5,1.8,3.7,82,1,1.7,0
1.2,1.4,4.4,72,0,3.5,0
0.4,2,3.2,48,0,3.2,0
0.5,1.3,3.7,70,0,3.7,0
0.5,2,5.6,78,0,3.8,0
0.5,0.6,3.6,81,0,3.9,0
2.2,1.9,3.5,74,1,1.4,0
2.2,2.7,4.3,70,1,1.5,0
2.3,1.9,3.7,77,1,1.7,0
5,3,6.9,82,2,1.4,0
0.1,-0.9,3.1,80,0,1.5,0
0.5,0.1,3.6,82,0,3.2,0
5.6,3.2,4.7,80,2,1.9,0
0.4,2.8,4.9,82,0,3.3,0
0.3,-0.2,2.7,68,0,3.4,0
10.6,6.4,4.2,80,2,0.6,0
0.3,2.1,2.3,81,0,2.7,0
2.9,0.4,3.1,80,2,1,0
1.3,2.9,5.6,79,1,2.3,0
1.2,3.3,5.7,77,1,2.3,0
0.1,1.3,4,82,0,3.8,0
0.1,1.2,2.7,67,0,3.7,0
0.7,1.9,3.4,80,1,2.8,0
0.5,0.7,2.3,82,0,4,0
4.4,3,5.9,82,2,1.5,0
0.3,1.1,2.6,61,0,3.1,1
0.4,0.5,3.5,74,0,3.1,1
0.4,0,3.2,82,0,2.8,1
0.7,2.5,3.1,63,1,2.3,1
3,1.8,2.6,66,2,1,1
0.2,-0.1,2.3,60,0,3.8,1
0.3,1.7,4.8,68,0,3.2,1
2.2,2.9,6.2,76,1,2,1
0.3,2.1,5,78,0,3.9,1
3.1,4.7,6.2,71,1,2.3,1
5.1,5.1,6.8,80,2,1.3,1
0.7,-1.5,3.7,80,0,2.4,1
5,5.4,6.7,74,2,2.2,1
6.1,6.8,9.1,81,2,2.6,1
5.9,7,7.9,73,2,2,1
6.7,6.5,7.2,80,2,2.5,1
0.6,-1.1,1.7,79,0,2.1,1
0.4,0.1,3.5,82,0,2.3,1
1.2,2.3,3.4,49,1,1.9,1
1.9,1.8,3,44,1,2.6,1
1.1,1.7,5.2,82,1,2.7,1
1,3.5,4.6,64,1,0.9,1
1,3.1,3.2,49,1,1,1
1.4,3.8,6,72,1,4,1
1.2,2.8,4.1,62,1,1,1
1.3,3.7,7,82,1,1.1,1
1.1,1.4,3.9,80,1,0.9,1
0.8,1.7,4.3,82,1,1.2,1
2.1,2.6,3.9,82,1,1.3,1
4.2,3.3,6.3,79,2,2.7,1
0.7,2.1,3.4,81,0,4.6,1
1.5,2.6,4.7,80,1,2.9,1
1.2,2,4.4,80,1,2.2,1
7,4,3.8,77,2,0.7,1
0.7,1.1,3.8,79,0,3.5,1
2.6,2.5,4.1,61,1,1.5,1
0.6,2.7,4.7,79,0,3.5,1
0.2,1.1,2.9,81,0,2.4,1
2.2,2.4,3.8,80,1,2.1,1
4.1,4.8,4.8,58,2,1.4,1
5,4.1,4.8,65,2,1.3,1
1,1.5,2.4,67,0,2.3,1
0.6,-0.3,2.8,76,0,2.2,1
5.4,3.2,5.4,82,2,1.5,1
6.7,2.3,4.4,81,1,0.7,1
0.4,0.3,3.4,70,0,3.8,1
1.7,2.7,4.5,62,1,2.6,1
1.3,2.1,5.3,79,1,2.1,1
0.3,1.3,4.7,81,0,3.3,1
2.4,3.6,6.5,81,1,2.4,1
4.3,4.1,6.2,78,2,1.1,1
7,6.7,5.1,70,2,1.8,1
4.6,6.4,6.9,82,2,2.8,1
0.6,1,3.1,61,0,3.8,1
4,5,8,82,1,2,1
2.8,3.7,5.8,82,1,1.8,1
0.6,-0.6,2.5,82,0,2.1,1
5.6,3.2,4.7,75,2,0.6,1
7.8,2.9,5.6,79,2,0.8,1
0.4,-0.9,1.2,50,0,2.9,1
0.4,0.1,4,82,0,3.1,1
0.3,0.5,4.7,82,0,3.3,1
6.4,4.9,7.2,82,2,1.9,1
5.9,4.3,6.7,81,2,2.2,1
0.5,0.5,4.1,82,0,3.3,1
1.6,2.3,4.8,81,1,2.9,1
7.4,6.1,6.9,68,2,3.1,1
1.3,2.6,5.2,82,1,1.2,1
1.6,2.3,4.4,82,1,1.1,1
4.7,2.9,4.7,73,1,1.1,1
2.2,-0.1,2,64,1,0.6,1
5.3,4,6,75,2,2.4,1
0.4,0.4,3.4,73,0,1.9,1
0.8,1,3.9,73,0,2.1,1
0.5,1,4.2,79,0,1.7,1
2.3,1.7,4.5,77,1,1,1
3.4,2.5,4.1,81,2,0.7,1
2.8,3.5,5.4,81,2,0.9,1
3.2,3,5.1,81,1,1.9,1
1.9,1.2,3.8,80,0,1.7,1
1.4,0.9,3.5,68,1,1.3,1
1.8,1.5,4.7,74,1,2.7,1
2.3,2.8,5.5,72,1,2.8,1
1.8,3.5,4.4,64,1,3.7,1
3.3,5.5,6.6,80,2,1.9,1
1.7,2.9,4.1,79,0,3.1,1
1.8,2.5,2.5,58,0,3.6,1
0.3,-0.9,3.5,82,0,1.9,1
0.5,-0.1,4,73,0,2.1,1
1,-0.2,4,82,0,2.1,1
0.7,2.1,3.4,81,1,1.2,1
0.5,-0.5,1.6,78,0,0.9,1
1.4,1.3,3.2,56,1,2.9,1
1.1,1.8,4,82,1,1.1,1
1.4,2.3,5.2,73,1,3.1,1
1.4,0.3,4,82,0,2.8,1
4.3,3.8,7.1,82,1,1,1
4.2,3.6,7.1,82,1,1.2,1
1.7,1.7,4.5,66,0,2.2,1
4.4,3.4,4.7,50,1,1.2,1
1,0,5.4,82,0,2.4,1
1.1,0.2,5,82,0,2.4,1
1,1.4,6.2,82,0,3.1,1
0.6,1.4,4.8,80,0,3.5,1
1,1.9,5.3,81,0,3.7,1
0.1,-2.3,1.3,77,0,1.3,1
0.2,-1.4,2.5,82,0,1.2,1
1.7,1.8,5.4,82,0,3.7,1
0,-0.5,3,75,0,1.2,1
0.1,-0.8,2.2,69,0,1.3,1
0.8,0.5,1.8,61,0,1.8,1
1.1,-0.2,2.3,82,0,1.6,1
0.5,-0.2,3.4,82,0,3,1
0.5,0.3,2.8,78,0,3.1,1
0.5,0.7,3.4,75,0,3.3,1
2.9,3.3,3.1,74,1,2.3,1
1.5,1.2,2.6,76,0,2.5,1
4,1.4,4.6,80,2,0.9,1
4.6,2.7,5.3,82,2,1.2,1
5,3.9,5.6,80,2,1.1,1
0.3,1.7,3.6,82,0,3.1,1
0.3,1.3,3.1,81,0,4.3,1
3.4,5,5.4,76,1,3,1
3,3.9,5.1,81,1,2,1
2.9,4,5.2,79,1,2.4,1
0.6,1.8,6.4,80,1,2.7,1
7.4,1.9,4.1,80,1,0.6,1
4.4,3.7,4.4,54,2,2.1,1
2,4.1,5.6,71,1,2.3,1
6,5,7.1,82,2,1.4,1
3.1,3.7,4.1,57,1,1.9,1
0.9,0.3,4.3,82,0,2.4,1
0.7,1.9,3.6,82,1,1.3,1
0.8,2.6,4.5,82,1,1.6,1
5.7,4.5,5.7,66,1,1.1,1
0.9,2.5,4.6,82,1,1.7,1
0.9,2.9,4.7,80,0,3.3,1
2.9,3.1,4.9,81,1,1.6,1
3.2,2.7,4.8,81,1,1.8,1
4,3.5,6.4,74,1,1.2,1
0.7,1.1,2.3,50,0,3,1
1.7,1.4,4.3,81,1,1.7,1
1.3,2.2,5.1,82,1,2,1
0.5,1.4,5.6,81,0,3.7,1
0.3,-0.2,3.5,82,0,3.4,1
0.4,3.8,6.8,82,1,1.9,1
1.3,1.2,5.2,78,0,3.7,1
1.5,1.7,5.6,80,0,3,1
0.4,3.2,4.3,81,0,4.7,1
1.1,0.8,4.3,82,0,3.5,1
6.5,6.1,6.5,82,2,0.7,1
2.4,2.3,6.1,82,0,3.9,1
0.7,-0.6,2.6,79,0,1.4,1
8.1,5.4,4.8,80,2,0.6,1
1.2,0.7,2.3,82,0,2,1
1.5,0.9,2.6,82,0,2.2,1
3,0.5,6,78,2,1.4,1
1.1,0.5,4,80,0,1.7,1
1.3,0.9,4.4,79,0,2.4,1
1.5,1.1,4.4,81,0,2.3,1
0.4,1.3,2.8,82,0,2.7,1
0.6,0.5,3.7,81,0,2.6,1
6.4,4.5,6,81,2,0.9,1
5.4,3.8,5.5,77,2,1,1
1.5,3.7,3.2,63,0,4.1,1
0.1,0.6,3.2,62,0,3.5,1
1.9,2.4,4.7,76,1,2.4,1
9.8,3.8,3.2,66,1,1,1
4.9,3.9,7.7,78,2,1.9,1
2,2.8,5.2,76,1,2.2,1
5.9,4.3,7.6,79,2,1.4,1
7.3,6.6,5.9,79,2,1.5,1
0.9,-1.4,2.2,77,0,1.8,1
7,4.9,4.3,69,1,2.1,1
2.6,4.4,6,82,1,2.1,1
0.8,0.2,3,65,0,2.4,1
5.2,4.2,6.9,81,1,0.9,1
0.5,2.2,5.8,82,0,3,1
0.5,2.1,5.4,77,0,2.8,1
2.8,3,5.6,81,1,1.9,1
7.7,3.8,3.9,46,2,1.1,1
6.6,2.7,5.2,82,2,0.6,1
7,4.5,6.6,80,2,0.9,1
1.5,2.2,5.3,77,1,2.5,1
2.2,4,6.7,79,1,4,1
5.7,4.7,7.9,80,2,2,1
6.5,5.4,8,82,2,2.4,1
1.8,2.6,5.5,82,1,2.5,1
6.2,4.4,7.6,82,2,2,1
7,5.8,8.7,82,2,2.6,1
1.2,2.7,5.2,81,0,3.6,1
1.1,1.7,3.2,81,1,1,1
3.1,0.6,4,77,1,0.6,1
3.1,1.2,3.8,68,1,0.6,1
8.7,6.5,6.7,82,2,0.6,1
3.4,3.8,3.2,75,1,2.9,1
0.5,0.3,3.5,76,0,2,1
3,2.2,3.4,76,1,2.2,1
2,2.2,3.9,81,1,2.2,1
3,2,3.8,81,1,2.2,1
1.1,0.3,2.8,78,1,1.2,1
2.6,2.7,3.6,75,1,2.5,1
3.4,4.6,5.5,82,1,3.3,1
