playername,TRB,AST,STL,BLK,PTS,fame,now,WS,MP
Larry Nance,8640.0,2740.0,1071.0,2249.0,17765.0,0,1,7.24117647059,35788.0
Tim Hardaway,3795.0,8439.0,1757.0,199.0,20339.0,0,1,4.98571428571,41335.0
Gary Payton*,5603.0,9629.0,2578.0,305.0,23447.0,1,1,8.13684210526,50325.0
John Wallace,1061.0,281.0,134.0,216.0,2901.0,0,1,0.914285714286,6143.0
Vince Carter,6816.0,4983.0,1597.0,878.0,27463.0,0,1,5.9,48014.0
Dirk Nowitzki,10893.0,3496.0,1158.0,1218.0,30260.0,0,1,10.5947368421,48673.0
Jason Terry,3226.0,5356.0,1560.0,262.0,18715.0,0,1,5.62777777778,41220.0
Jamal Crawford,2957.0,4411.0,1161.0,263.0,19364.0,0,1,3.29473684211,38603.0
Tyson Chandler,9676.0,871.0,587.0,1277.0,9002.0,0,1,6.04375,29372.0
Pau Gasol,11102.0,3846.0,607.0,1945.0,21247.0,0,1,8.07222222222,41180.0
Mike James,1968.0,2938.0,684.0,55.0,8290.0,0,1,1.6,20788.0
Richard Jefferson,4921.0,2485.0,822.0,365.0,15452.0,0,1,4.78888888889,35878.0
Joe Johnson,5435.0,5415.0,1173.0,277.0,21606.0,0,1,4.385,47648.0
Tony Parker,3218.0,6634.0,1003.0,90.0,18522.0,0,1,6.80625,36205.0
Zach Randolph,10315.0,2025.0,835.0,307.0,18762.0,0,1,4.60555555556,34865.0
Manu Ginobili,3555.0,3838.0,1349.0,303.0,13467.0,0,1,6.95333333333,25560.0
Nene Hilario,5819.0,1728.0,1037.0,731.0,10953.0,0,1,4.22941176471,25043.0
Carmelo Anthony,6992.0,3278.0,1098.0,517.0,26126.0,0,1,6.5625,38085.0
Udonis Haslem,5701.0,721.0,421.0,247.0,6478.0,0,1,3.64285714286,21372.0
LeBron James,7707.0,7461.0,1749.0,817.0,28787.0,0,1,14.6857142857,41272.0
Kyle Korver,3554.0,2088.0,798.0,402.0,11713.0,0,1,4.06111111111,30800.0
Zaza Pachulia,5729.0,1233.0,699.0,344.0,6774.0,0,1,3.35714285714,20390.0
Dwyane Wade,4397.0,5173.0,1500.0,800.0,21317.0,0,1,8.37142857143,32352.0
David West,6352.0,2135.0,717.0,775.0,13539.0,0,1,5.89285714286,28145.0
Tony Allen,2837.0,1068.0,1147.0,334.0,6551.0,0,1,2.98461538462,17782.0
Trevor Ariza,4546.0,1954.0,1414.0,304.0,9603.0,0,1,3.22941176471,27084.0
Nick Collison,4680.0,935.0,446.0,469.0,5328.0,0,1,3.40769230769,18528.0
Luol Deng,5756.0,2206.0,926.0,445.0,14213.0,0,1,5.19333333333,32749.0
Devin Harris,2254.0,4467.0,1076.0,183.0,11599.0,0,1,3.57058823529,25828.0
Dwight Howard,12089.0,1426.0,931.0,1916.0,16652.0,0,1,9.36153846154,33291.0
Andre Iguodala,5133.0,4396.0,1548.0,463.0,12683.0,0,1,6.85384615385,33834.0
Al Jefferson,7547.0,1317.0,612.0,1070.0,14091.0,0,1,5.33846153846,25815.0
