BPM,PER,Pos,Pts,Team,WS
3.7,27.5,2,28,1,11
3.4,20.6,2,12.7,1,11.5
4.8,21.7,2,17.4,1,10.2
6.6,20,2,12.6,1,11.2
4.1,24.4,2,17.8,1,8.3
3.8,24.2,2,20.6,1,7.7
4.8,26.1,2,22.9,1,14.4
5.5,24,2,18.3,1,13.2
4.4,25.4,2,20.6,1,13.8
2.2,22.9,2,20.7,1,12.9
1.6,23.1,2,20.4,1,11.2
2.6,24.4,2,20,1,6.2
5.6,27,2,22.9,1,11
5.4,24.4,2,21.5,1,9.9
6.3,29.5,2,27.5,1,13.2
7,29.7,2,27.2,1,13.2
7.3,30.2,2,28.7,1,14.9
9.7,30.6,2,29.7,1,18.6
4.8,24.6,2,20.1,1,7.9
4.6,28.8,2,28.3,1,10.2
3.2,22.7,2,23.2,1,9.1
9.2,29.4,2,25,1,18.3
8.4,29.1,2,27.6,1,17.5
7,25.3,2,27.3,1,14.3
8.4,27.3,2,26.1,1,15.8
10,27.5,2,23.2,1,13.9
8.4,27.4,2,25.6,1,17
8.4,27,1,26.4,1,12.9
9.1,27.5,1,25.3,1,13.6
7.4,25.9,1,25.3,1,10.4
8.8,29.8,1,32,1,19.2
7.7,28.3,1,28.1,1,18.9
5.2,26.2,1,28,1,12.2
2.9,23.6,1,27.7,1,12
5.1,26.2,1,30.1,1,16.1
13,31.7,1,28.4,1,20.3
7.4,25.3,1,18.8,1,12.9
7.1,26.1,2,20,1,13
9.3,28.1,1,31.4,1,16.3
6.4,27,1,20.3,1,11.2
7.3,27.1,1,22.3,1,13.1
7.4,26.9,1,23.3,1,16.5
7.6,27,1,25.5,1,17.8
5.4,23.8,1,22.2,1,13.2
6.1,24.8,1,23.2,1,13
4.9,23.2,1,21.7,1,8.7
5.5,22.6,1,21.1,1,12.8
8,25.5,1,21.4,1,14.6
7.3,26,1,25.7,1,15.1
5.8,25.1,1,26.7,1,13.8
6.3,22.9,1,25.2,1,13.4
8.3,25.9,1,25.6,1,14.4
5.3,25.4,1,28,1,15.1
9.9,28.9,1,27.6,1,13.4
7.9,27.6,1,25.5,1,13.6
8.3,26,1,21.2,1,13.7
7.1,30.8,1,24.4,1,14
8.9,29.3,1,27.1,1,15.9
11.6,31.6,1,26.8,1,19.3
11,30.7,1,27.1,1,14.5
8.6,27.3,1,26.7,1,15.6
12.5,31.1,1,29.7,1,18.5
1.2,23.1,1,25.9,1,10.9
11.2,29.1,1,30,1,15.2
6.7,27.6,1,24.6,1,16.3
5.7,28.1,1,26.6,1,17.7
5.7,26.1,1,26.1,1,15.6
9.9,29.4,1,24.2,1,18.3
8.7,26.4,1,23,1,15.6
6,25.1,0,25.6,1,11.5
4.9,24.7,1,27.1,1,11
6.1,23.6,1,22.9,1,11.6
6.8,25.6,1,23.8,1,9.6
7,27.9,1,27,1,16.4
8.5,28.9,1,27.4,1,16.7
6.8,21,1,19.4,1,12.3
7.8,22.6,1,21.4,1,11.8
8.3,23.2,1,22,1,11.2
7.6,26.2,1,27,1,15.4
3.5,19.9,1,25.6,1,10.8
5.8,24.8,1,29,1,15.5
10.1,27.4,0,29.1,1,15
12.5,31.5,0,30.1,1,17.9
9.9,28,0,23.8,1,15.7
5.7,23.5,0,25.4,1,12.8
4.7,23,0,27.3,1,10.9
2.3,21.9,0,27.9,1,6.2
3.8,23.9,0,25.3,1,10.3
3.6,21.9,0,27,1,9.4
4.5,24.4,0,26.8,1,12.7
5.4,24.2,0,28.3,1,13.8
4.7,26.1,0,31.6,1,13
5.8,28,0,35.4,1,15.3
4.3,23.2,0,30.7,1,9
5.7,23.7,0,24,1,10.7
6.4,26.2,0,30,1,14.9
4.4,23.2,0,25.2,1,12.7
4.8,24,0,31.1,1,11.8
4.1,18.4,0,14.3,1,8.5
4.6,22.2,0,26.8,1,7.2
4.6,25.2,0,28.7,1,15.8
5.1,20.8,0,20.3,1,12.9
6.4,24.6,0,21.7,1,14.4
4.2,20.8,0,20.9,1,10.7
2,15.9,0,21,1,8
9.5,29.7,0,32.6,1,17.2
8.4,23.6,0,25,1,12.8
8.3,25.1,0,19.4,1,15.4
15.6,30.6,0,31.6,1,13.1
10,27.6,0,23.5,1,14
8.4,26.7,0,27.4,1,16.4
7.4,25.9,0,19.1,1,12.2
7.5,26.4,0,16.9,1,13.9
7.9,27,0,19.8,1,12.7
5.9,23.5,0,25,1,13.1
9.4,28,0,26.6,1,13
10.7,30.4,0,30.2,1,14.7
9.2,28.3,0,21.1,1,17.8
3.8,23.8,0,18.6,1,12.6
3.7,23.3,0,18.8,1,12.4
1.7,22,0,15.5,1,10.9
4.5,19.7,0,15.5,1,7.2
9.7,30.3,0,32.1,1,16.1
5.1,19.1,0,14.7,1,8.9
4.8,19.4,0,16.9,1,9.6
6.8,23.6,0,24.2,1,13.9
5.8,22.5,0,16.9,1,8.1
5,21.6,0,19.2,1,12.5
6.7,27.8,0,29.6,1,18.3
8.6,29.4,0,30.4,1,20.4
5.5,23.3,0,14.7,1,13.9
4.4,22.5,0,15.1,1,13.2
3.2,22.1,0,18.2,1,9.8
8.6,27.7,0,30.1,1,17.7
10.8,31.6,0,31.5,1,20.3
6.9,25.1,1,23.9,0,13.8
1.8,22.4,1,18,0,10.1
5.5,22.6,2,13.9,0,9.6
0.3,21.8,1,23.2,0,7.5
2.5,19.2,1,18.5,0,9.1
1.8,21.7,1,21.6,0,7.6
2.5,22.6,1,20.1,0,10.5
5.4,22.9,2,18.3,0,11
5,22.2,2,18.9,0,13.9
4.7,19.6,1,19.6,0,12.4
5,24.1,1,22.4,0,10.7
5.3,23.6,1,21.8,0,14.6
6.8,22.9,1,25.7,0,12
3.4,22.5,2,21.8,0,11.5
4.2,22.7,0,25.9,0,10.1
5.9,18.6,2,7.6,0,11.6
4.7,22.8,1,21.8,0,14.6
5.9,23.4,1,24.5,0,10.7
0.7,21.7,2,21.2,0,4.2
0.7,17.4,1,22.3,0,9.3
4.5,18.9,1,16.2,0,11.4
0.2,17,1,22.1,0,5.6
4.5,20.3,1,19.2,0,12.9
0.9,21.4,1,26,0,8.4
4.3,19.2,1,18.6,0,8.6
1,19.7,1,18.3,0,8.8
2.3,18.1,1,21.4,0,9
4.1,21.8,2,12.7,0,11.8
-0.5,21.2,2,16.2,0,7.4
4.1,21,2,11.5,0,12.8
1.8,22.7,2,21.8,0,7.8
1.3,19.4,2,17.1,0,7.6
4.1,18.7,2,11.3,0,9.5
4.4,20.7,2,15.3,0,10.1
3.4,20.7,2,15.9,0,7.5
2,22.3,2,17.8,0,7.8
2.9,22.5,2,22,0,8.3
3.6,21.1,2,17.6,0,9.7
2.4,25.6,2,22.3,0,8.6
3.8,17.4,2,9.7,0,8.5
1.9,21.9,2,17.5,0,11.4
2.6,21.4,1,20.8,0,10.5
1.3,16,2,11.5,0,9.6
5.5,23.7,2,14.4,0,12.1
5.5,24.6,2,17.8,0,12.7
2.9,23.1,2,18.9,0,6.5
2.5,19.8,2,13.4,0,10.8
6.3,27.1,2,26.2,0,8
3.5,26.4,2,26.6,0,6.9
5.3,26,2,27.8,0,10.7
6.6,28.5,2,29.3,0,16.9
6.7,24.2,2,23.4,0,13.2
5,23,2,21.5,0,11.7
6.3,24.3,2,21.2,0,8.6
5.4,16.5,1,10.2,0,8.2
4.5,20.9,1,23.1,0,9.2
4.1,22.8,1,21.9,0,9
4.7,20.1,1,21.7,0,10.8
4.7,16.8,1,17.4,0,9
2.9,21.1,1,22.6,0,6.2
2.4,21.5,1,21.8,0,11.1
5.6,24.7,2,17.9,0,10.9
0.3,19,1,22.8,0,5
3.2,21.9,1,21.1,0,10.2
2,22.1,1,28.9,0,7.3
1.5,22,1,26.5,0,9.4
4.9,21.7,1,19.4,0,12.5
4.2,18.2,1,18.3,0,8
2,18,1,21.6,0,9
0.2,18.1,1,19,0,6.4
5.9,24.7,1,23.2,0,13.1
4.6,23.4,1,25.7,0,11.8
5.7,22.4,1,20.8,0,5.4
5.8,20.4,1,19.1,0,6.6
